asin	title	subtitle	extended_product_description	authors	narrators	series_title	series_sequence	genres	runtime_length_min	is_finished	percent_complete	rating	num_ratings	date_added	release_date	cover_url	purchase_date
B075DHDVKF	Power of TED*	*The Empowerment Dynamic: 10th Anniversary Edition		David Emerald	Ryan Sitzberger			Business & Careers, Career Success, Motivation & Self-Improvement, Literature & Fiction, Poetry	185	True	100.0	4.6	628	2019-05-15T06:42:21.584Z	2017-08-30	https://m.media-amazon.com/images/I/51Zl5RuzXDL._SL500_.jpg	2019-05-15T06:42:21.584Z
B075ZGCXKB	In an Unspoken Voice	How the Body Releases Trauma and Restores Goodness		Peter A. Levine Ph.D., Gabor Maté - introduction MD	Ed Nash			Health & Wellness, Psychology & Mental Health, Mental Health, Health & Wellness, Psychology & Mental Health, Psychology, Relationships, Parenting & Personal Development, Personal Development, Personal Success	729	False	56.0	4.6	581	2020-04-19T09:39:40.139Z	2017-09-28	https://m.media-amazon.com/images/I/51QPc-uC8LL._SL500_.jpg	2020-04-19T09:39:40.139Z
B076BXLDVP	High Performance Habits	How Extraordinary People Become That Way		Brendon Burchard	Brendon Burchard			Business & Careers, Career Success, Money & Finance, Personal Finance, Relationships, Parenting & Personal Development, Personal Development, Personal Success, Relationships, Parenting & Personal Development, Personal Development, Stress Management	635	False	0.0	4.6	7704	2023-03-06T04:13:16.922Z	2017-10-10	https://m.media-amazon.com/images/I/41xArfhy1DL._SL500_.jpg	2023-03-06T04:13:16.922Z
B077XMJTL2	Why We Sleep	The New Science of Sleep and Dreams		Matthew Walker	John Sackville			Health & Wellness, Physical Illness & Disease, Health & Wellness, Psychology & Mental Health, Psychology, Science & Engineering, Science, Biological Sciences	811	True	100.0	4.8	882	2019-05-12T10:52:56.561Z	2017-12-07	https://m.media-amazon.com/images/I/41+Gyr3XsvS._SL500_.jpg	2019-05-12T10:52:56.561Z
B0785WX584	Gather ‘Round the Sound	Holiday Stories from Beloved Authors and Great Performers Across the Globe		Paulo Coelho, Yvonne Morrison, Charles Dickens	Angele Masters, Daniel Frances Berenson, Magda Szubanski, Simon Callow, Dan Starkey, John Banks, Vern			Literature & Fiction, Genre Fiction, Contemporary Fiction	72	False	76.0	3.2	6948	2017-12-11T19:06:14.814Z	2017-12-08	https://m.media-amazon.com/images/I/519bexV7O-L._SL500_.jpg	2017-12-11T19:06:14.814Z
B0797YBP7N	12 Rules for Life	An Antidote to Chaos		Jordan B. Peterson, Ethan Van Sciver, Norman Doidge - introduction M.D.	Jordan B. Peterson	12 Rules for Life		Health & Wellness, Psychology & Mental Health, Psychology, Politics & Social Sciences, Philosophy, Ethics & Morality, Politics & Social Sciences, Philosophy, Society, Relationships, Parenting & Personal Development, Personal Development, Personal Success	940	True	100.0	4.6	92983	2018-09-14T05:56:20.548Z	2018-01-23	https://m.media-amazon.com/images/I/412oEiiCeML._SL500_.jpg	2018-09-14T05:56:20.548Z
B07B6FZ9DP	How to Be Heard	Secrets for Powerful Speaking and Listening		Julian Treasure	Julian Treasure			Business & Careers, Marketing & Sales, Sales & Selling, Business & Careers, Career Success, Relationships, Parenting & Personal Development, Personal Development, Communication & Social Skills, Relationships, Parenting & Personal Development, Personal Development, Personal Success	749	False	28.0	4.3	258	2020-09-17T07:36:38.000Z	2018-03-09	https://m.media-amazon.com/images/I/41aB7Ww3jdL._SL500_.jpg	2020-09-17T07:36:38.000Z
B07BTCBF7G	Trading in the Zone	Master the Market with Confidence, Discipline, and a Winning Attitude		Mark Douglas	Kaleo Griffith			Business & Careers, Business Development & Entrepreneurship, Money & Finance, Investing & Trading, Stocks, Money & Finance, Personal Finance	477	True	100.0	4.8	6008	2022-01-09T12:03:17.553Z	2018-04-24	https://m.media-amazon.com/images/I/41QIJV2mnDL._SL500_.jpg	2022-01-09T12:03:17.553Z
B07CRPMLC8	The Arabian Nights (AmazonClassics Edition)			Andrew Lang	Neil Shah			Literature & Fiction, Classics, Science Fiction & Fantasy, Fantasy, Fairy Tales	682	True	99.0	4.1	269	2025-08-09T06:06:57.284Z	2018-05-01	https://m.media-amazon.com/images/I/41tPMgA6fCL._SL500_.jpg	2025-08-09T06:06:57.284Z
B07DKVMMRZ	The Laws of Human Nature			Robert Greene	Paul Michael, Robert Greene			Business & Careers, Career Success, Motivation & Self-Improvement, Health & Wellness, Psychology & Mental Health, Psychology, Social Psychology & Interactions, Relationships, Parenting & Personal Development, Personal Development, Personal Success	1706	True	100.0	4.8	15289	2020-02-08T17:46:10.047Z	2018-10-23	https://m.media-amazon.com/images/I/41Hy7Gn-2IL._SL500_.jpg	2020-02-08T17:46:10.047Z
